Data,Label
"b'A visual scene is rapidly segmented into the regions that are occupied by different objects and background. Segmentation may be initiated from the detection of boundaries, followed by the filling-in of the surfaces between these boundaries to render them visible. Alternatively, segmentation may be based on grouping of surface elements that are similar, so that boundaries are (implicitly) identified as the borders between elements that are grouped into objects. Here, we present recordings from awake monkey primary visual cortex that show that in late (>80 ms) components of the neural responses a correlate of boundary formation is expressed, followed by a filling-in (also called colouring) between the edges. These data favour a model of segmentation where boundary formation initiates surface filling-in.\r\n\r\n'",1
"b'IL-4 plays a major role in IgE production. Its signal is conferred to effector cells through binding to the {alpha} chain of the membrane-bound human IL-4 receptor (huIL-4R{alpha}). Here we present the genomic structure and organization of huIL-4R{alpha}. The promotor region shows binding sites for several transcription factors involved in inflammatory processes. HuIL-4R{alpha} has been shown to be organized differently to that of mouse IL-4R{alpha}. A soluble form of huIL-4R{alpha} is produced by alternative splicing of the huIL-4R{alpha} gene (shuIL-4R{alpha}/splice). Expression of the corresponding mRNA coding for the extracellular part of the receptor and an additional three amino acids is also shown. A second form of huIL-4R{alpha}, i.e. shuIL-4R{alpha}/prot, is produced by limited proteolysis of the receptor (shedding) and is already known. These results reveal a complex pattern for the regulation of the IL-4 pathway at the receptor level. The patterns of expression of all three receptor proteins as well as their individual meaning in the context of inflammation still have to be elucidated'",4
"b'BackgroundAlthough vital statistics have indicated large Japanese-American differences in mortality rates for coronary heart disease (CHD), the magnitude of difference has not been documented well using comparable validation of cause of death.\r\n\r\nMethodsPopulation-based fatal CHD data were compared between the Oita Cardiac Death Survey, Japan and the Atherosclerosis Risk in Communities (ARIC) Study, USA. Both studies (population: Oita City 198 093; the ARIC comunities 286 820) identified possible fatal CHD events (International Classification of Diseases, Ninth Revision [ICD-9]: 410\x96414, 250, 401\x96402, 427\x96429, 440, and 798\x96799) among residents aged 35\x9674 years during 1992\x961993. Comparable criteria for classifying cause of death were applied. Sex-specific, age-adjusted mortality rates of CHD were calculated by place of death.\r\n\r\nResultsIn all, 330 deaths in Oita and 1398 in the ARIC communities had eligible ICD-9 death certificate codes; CHD codes (ICD-9 410\x96414) comprised 30.6% of investigated deaths in Oita and 58.6% in ARIC. For men, the non-validated rate ratio for CHD deaths (ARIC:Oita City) was 5.9 (95% CI : 4.2\x968.5), which fell to 4.7 (95% CI : 3.5\x966.4) with validation and inclusion of sudden deaths within one hour of onset as fatal CHD. For women, the overall non-validated rate ratio was 4.6 (95% CI : 2.8\x967.6), which fell to 3.9 (95% CI : 2.4\x966.3) with validation and but there was little further change when the sudden deaths were added.\r\n\r\nConclusionsOur results suggest that differences in fatal CHD rates between Japanese and Americans were not as large as suggested by vital statistics when events were validated and sudden deaths were included.'",3
"b'Galectins are a continuously expanding family of \xdf-galactoside-binding lectins present in a variety of evolutionarily divergent animal species. Here we report, for the first time, that expression of galectins extends to the reptilia lineage of lizards. Up to five lactose-binding proteins were isolated from the lizard Podarcis hispanica by affinity chromatography on asialofetuin-Sepharose. The main component, which is most abundantly expressed in skin, was purified from this tissue and further characterized. Under native conditions the protein behaved as a monomer with a molecular mass of 14,500 Da and an isoelectric point of 6.3. Based on sequence homology of the 58 N-terminal amino acid residues with galectins, and on its demonstrated galactoside-binding activity, this lectin we named LG-14 (from Lizard Galectin and 14 kDa) is classified as a new member of the galectin family. LG-14 falls into and strengthen the still thinly populated category of monomeric prototype galectins.'",2
"b'We show by nanoelectrospray ionization (nanoES) Fourier-transform ion cyclotron resonance mass spectrometry (FT-ICR MS) that it is possible to observe oligosaccharide\x96protein complexes with dissociation constants in the millimolar range, such as Pk trisaccharide (globotriaoside) complexed with the Shiga-like toxin (SLT) of pathogenic E. coli. It is further demonstrated that nanoES/FT-ICR MS is an exquisite method to study quantitative aspects of the association of mono- and polyvalent oligosaccharide ligands with multimeric proteins, such as the SLTs. At increasing trisaccharide:protein ratios it was shown that the B5 toxin subunit complexes with 5 Pk trisaccharides and only after all 5 copies of site 2 are essentially filled do any of the remaining 10 receptor sites become occupied. From the distribution of bound Pk\x92s at the five binding sites, it was possible to establish association constants for each of the five sites and to confirm that binding occurs noncooperatively, the association constants for each site are identical and that compared to site 1, site 2 exhibits a tenfold higher affinity for the globotriaoside synthetic ligand 1. The facile identification of the occupancy of binding sites represents information that is not readily available by other techniques. This sensitive and rapid estimation of association constants for protein\x96ligand complexes, which are free of unpredictable secondary effects that plague enzyme linked assays, is likely to find wide application.'",2
"b'Background From an epidemiological and public health perspective there is an interest in quantifying differences in incidence and mortality between either time points, geographical areas or males and females. We propose a method for splitting such a difference in the number of cases/deaths into three components: (1) those due to risk; (2) those due to population structure (i.e. age distribution); and (3) those due to population size. We also propose graphical methods for presenting the results. Three examples are used to illustrate our methodology.\r\nTemporal and geographical trends in disease incidence and mortality provide important information to epidemiologists. However, when it comes to analysing the difference between two given time points, two geographical areas or even between the sexes there is no clear reference as to how this is done in practice with a mathematical foundation.\r\n\r\nMethods have been used that do not adjust the population leading to incorrect results.1,2 Macfarlane et al.2 present the percentage change in the crude rate and the percentage change in the number of deaths for cancers of the upper aerodigestive tract in a variety of different countries. Their aim is to relate these changes to national consumption of alcohol and smoking. However, just looking at the crude rate does not provide a change in risk as structural changes have not been considered. Further they state, \x91Numbers of deaths increased in some of the countries with decreasing rates, due to an ageing of the population\x92, but no supporting analysis has been provided. Even if the rate decreases and the population size increases (e.g. doubles or triples) without affecting the structure then we could still see an increase in the absolute number of deaths and this would not be as a result of population ageing. In this situation we would recommend using the method we describe below to calculate the risk and demographic changes. In order to decide whether the structural changes are due to population ageing, one would need to study the population proportions more closely. Engeland et al.1 essentially use the same method as us but they do not adjust the populations to the same size. If the population size and structure does not change the lack of adjustment does not result in large errors. Hence the population size influences the changes due to risk and structure.\r\n\r\nIn this paper we present a method for partitioning the variation in the number of cases or deaths between two groups (or chronological dates) with respect to demographic variation on the one hand and differences in exposure to risk factors on the other. The demographic component of the variation has to be split itself into that due to variation in population size, which is trivial, and that due to the change in the population structure (i.e. age distribution) which needs more attention.'",3
"b'Background Although \xdf-carotene has shown inverse associations with chronic diseases involving free radical damage in observational epidemiological studies less attention has been paid to five other major carotenoids also showing antioxidant activity in vitro.\r\n\r\nMethods We studied the associations between 7.2-year mortality and serum levels of six carotenoids, and {alpha}-tocopherol, measured in stored serum, sampled in 1991/1992 during a health survey among 638 independently living elderly subjects aged 65\x9685 years. Proportional hazards regression was used to estimate hazard ratios of all-cause mortality for the lowest tertiles of serum vitamins with the highest tertiles, adjusting for possible confounding effects.\r\n\r\nResults During a follow-up period of 7.2 years 171 elderly died. The adjusted hazard ratios for all-cause mortality for the lowest tertiles of vitamins compared with the highest tertiles were between 1.02 and 1.73. The strongest increase in mortality risk was seen for \xdf-cryptoxanthin (1.52, 95% CI : 1.00, 2.32), lutein (1.56, 95% CI : 1.05, 2.31) and zeaxanthin (1.32, 95% CI : 0.89, 1.97) and their sum (oxygenated carotenoids: 1.73, 95% CI : 1.12, 2.67). Tests for trend were significant (P < 0.05) for all-cause mortality risk and serum levels of total carotenoids, oxygenated carotenoids and \xdf-cryptoxanthin.\r\n\r\nConclusions Our findings suggest that serum levels of individual carotenoids, particularly the oxygenated species are inversely associated with all-cause mortality and should be considered as candidates for further investigations.'",3
"b'Dendritic cells (DC) are highly motile antigen-presenting cells that are recruited to sites of infection and inflammation to antigen uptake and processing. Then, to initiate T cell-dependent immune responses, they migrate from non-lymphoid organs to lymph nodes and the spleen. Since chemokines have been involved in human DC recruitment, we investigated the role of chemokines on mouse DC migration using the mouse growth factor-dependent immature DC line (D1). In this study, we characterized receptor expression, responsiveness to chemoattractants and chemokine expression of D1 cells during the maturation process induced by lipopolysaccharide (LPS). MIP-1{alpha} and MIP-5 were found to be the most effective chemoattractants, CCR1 was the main receptor expressed and modulated during LPS treatment, and MIP-2, RANTES, IP-10 and MCP-1 were the chemokines modulated during DC maturation. Thus, murine DC respond to a unique set of CC and CXC chemokines, and the maturational stage determines the program of chemokine receptors and chemokines that are expressed. Since CCR1 is modulated during the early phases of DC maturation, our results indicate that the CCR1 receptor may participate in the recruitment and maintenance of DC at the inflammatory site.'",4
"b'The neuronal response patterns that are required for an adequate behavioural reaction to subjectively relevant changes in the environment are commonly studied by means of oddball paradigms, in which occasional \x91target\x92 stimuli have to be detected in a train of frequent \x91non-target\x92 stimuli. The detection of such task-relevant stimuli is accompanied by a parietocentral positive component of the event-related potential, the P300. We performed EEG recordings of visual and auditory event-related potentials and functional magnetic resonance imaging (fMRI) when healthy subjects performed an oddball task. Significant increases in fMRI signal for target versus non-target conditions were observed in the supramarginal gyrus, frontal operculum and insular cortex bilaterally, and in further circumscribed parietal and frontal regions. These effects were consistent over various stimulation and response modalities and can be regarded as specific for target detection in both the auditory and the visual modality. These results therefore contribute to the understanding of the target detection network in human cerebral cortex and impose constraints on attempts at localizing the neuronal P300 generator. This is of importance both from a neurobiological perspective and because of the widespread application of the physiological correlates of target detection in clinical P300 studies.\r\n\r\n'",1
"b'In comparison to androgens, almost nothing is known about the role of endogenous oestrogens in human aggressive behaviour. This new aspect was studied in the present investigation involving men with a history of alcohol-related aggression (AGG+) and in an age-matched male control population (AGG-). Methods: Male AGG+ volunteers were recruited through advertisements and the controls were drawn from the Finnish Population Register. Alcohol misuse and interpersonal partner violence were estimated by questionnaires. Endogenous hormone levels were measured from morning plasma samples. Results: A positive association emerged between plasma oestradiol and emotional negotiation during interpersonal conflict situations. Furthermore, a negative association was observed between oestradiol and testosterone-related physical, violent, aggression in the AGG+ men. In addition, oestradiol, rather than testosterone, was positively associated with psychological aggression in both groups of men. Conclusion: It is suggested that endogenous female sex hormones may be related to empathic behaviour and could, thus, represent a counter-balancing factor in alcohol-related male aggressive behaviour. Altogether, oestrogen may represent a multifactor ingredient in the complex interactions of partner conflicts.\r\n\r\n'",0
